,year,artist,track,time,date.entered,week,ratings,id
0,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk1,87.0,0
1,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk2,82.0,0
2,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk3,72.0,0
3,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk4,77.0,0
4,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk5,87.0,0
5,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk6,94.0,0
6,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk7,99.0,0
7,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk8,,0
8,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk9,,0
9,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk10,,0
10,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk11,,0
11,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk12,,0
12,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk13,,0
13,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk14,,0
14,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk15,,0
15,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk16,,0
16,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk17,,0
17,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk18,,0
18,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk19,,0
19,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk20,,0
20,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk21,,0
21,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk22,,0
22,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk23,,0
23,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk24,,0
24,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk25,,0
25,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk26,,0
26,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk27,,0
27,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk28,,0
28,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk29,,0
29,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk30,,0
30,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk31,,0
31,2000,2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,wk32,,0
